src	dst	index	capacity	fiberpath_index	wavelength	failure
1	2	1	6	[1]	[1,2,3,4,5,6]	0.002
1	4	1	8	[2,6]	[1,2,3,4,5,6,7,8]	0.003
1	5	1	7	[1,4]	[7,8,9,10,11,12,13]	0.003
1	6	1	6	[2,7]	[9,10,11,12,13,14]	0.003
1	7	1	6	[2,7,17]	[15,16,17,18,19,20]	0.004
1	8	1	6	[2,7,18]	[21,22,23,24,25,26]	0.004
1	9	1	9	[2,7,18,26,30]	[27,28,29,30,31,32,33,34,35]	0.006
1	10	1	7	[2,7,18,26]	[36,37,38,39,40,41,42]	0.005
1	11	1	6	[2,7,17,22]	[43,44,45,46,47,48]	0.005
1	12	1	6	[2,7,18,26,32]	[49,50,51,52,53,54]	0.006
2	1	1	6	[3]	[1,2,3,4,5,6]	0.002
2	3	1	9	[3,2]	[55,56,57,58,59,60,61,62,63]	0.003
2	4	1	10	[4,13]	[1,2,3,4,5,6,14,15,16,17]	0.003
2	5	1	8	[4]	[18,19,20,21,22,23,24,25]	0.002
2	6	1	6	[4,14]	[26,27,28,29,30,31]	0.003
2	7	1	10	[4,14,17]	[32,33,34,35,36,37,38,39,40,41]	0.004
2	8	1	6	[4,14,18]	[43,44,45,46,47,48]	0.004
2	9	1	10	[4,14,18,26,30]	[55,56,57,58,59,60,61,62,63,64]	0.006
2	10	1	8	[4,14,18,26]	[65,66,67,68,69,70,71,72]	0.005
2	11	1	6	[4,14,17,22]	[42,49,50,51,52,53]	0.005
2	12	1	7	[4,14,18,26,32]	[73,74,75,76,77,78,79]	0.006
3	2	1	9	[1,5]	[55,56,57,58,59,60,61,62,63]	0.003
3	4	1	6	[6]	[9,10,11,12,13,14]	0.002
3	6	1	7	[7]	[1,2,3,4,5,6,7]	0.002
3	7	1	7	[7,17]	[8,55,56,57,58,59,60]	0.003
3	8	1	6	[7,18]	[80,81,82,83,84,85]	0.003
3	9	1	7	[7,18,26,30]	[86,87,88,89,90,91,92]	0.005
3	10	1	4	[7,18,26]	[93,94,95,96]	0.004
3	11	1	6	[7,17,22]	[61,62,63,64,65,66]	0.004
4	1	1	8	[5,8]	[1,2,3,4,5,6,7,8]	0.003
4	2	1	10	[12,9]	[1,2,3,4,5,6,14,15,16,17]	0.003
4	3	1	6	[8]	[9,10,11,12,13,14]	0.002
4	5	1	8	[9]	[1,2,3,4,5,6,7,8]	0.002
4	6	1	6	[8,7]	[67,68,69,70,71,72]	0.003
4	7	1	6	[10]	[1,2,3,4,5,6]	0.002
4	8	1	6	[11]	[1,2,3,4,5,6]	0.002
4	9	1	6	[10,22,34]	[7,8,9,10,11,12]	0.004
4	10	1	9	[11,26]	[7,8,9,10,11,12,13,14,15]	0.003
4	11	1	6	[10,22]	[13,14,15,16,17,18]	0.003
5	1	1	7	[3,12]	[7,8,9,10,11,12,13]	0.003
5	2	1	8	[12]	[18,19,20,21,22,23,24,25]	0.002
5	4	1	8	[13]	[1,2,3,4,5,6,7,8]	0.002
5	6	1	7	[14]	[1,2,3,4,5,6,7]	0.002
5	7	1	9	[14,17]	[9,10,11,12,13,14,21,22,23]	0.003
5	8	1	7	[14,18]	[8,15,16,17,18,19,20]	0.003
6	1	1	6	[5,15]	[9,10,11,12,13,14]	0.003
6	2	1	6	[12,16]	[26,27,28,29,30,31]	0.003
6	3	1	7	[15]	[1,2,3,4,5,6,7]	0.002
6	4	1	6	[6,15]	[67,68,69,70,71,72]	0.003
6	5	1	7	[16]	[1,2,3,4,5,6,7]	0.002
6	7	1	6	[17]	[1,2,3,4,5,6]	0.002
6	8	1	6	[18]	[1,2,3,4,5,6]	0.002
6	9	1	6	[17,22,34]	[24,25,26,27,28,29]	0.004
6	12	1	14	[17,22,36]	[30,31,54,67,68,69,70,71,72,73,74,75,76,77]	0.004
7	1	1	6	[5,15,20]	[15,16,17,18,19,20]	0.004
7	2	1	10	[12,16,20]	[32,33,34,35,36,37,38,39,40,41]	0.004
7	3	1	7	[15,20]	[8,55,56,57,58,59,60]	0.003
7	4	1	6	[19]	[1,2,3,4,5,6]	0.002
7	5	1	9	[16,20]	[9,10,11,12,13,14,21,22,23]	0.003
7	6	1	6	[20]	[1,2,3,4,5,6]	0.002
7	8	1	9	[21]	[1,2,3,4,5,6,7,8,9]	0.002
7	9	1	7	[22,34]	[1,2,3,4,5,6,19]	0.003
7	10	1	15	[22,35]	[20,21,22,23,32,33,34,35,36,37,38,39,40,41,55]	0.003
7	11	1	6	[22]	[56,57,58,59,60,78]	0.002
7	12	1	6	[22,36]	[79,80,81,82,83,84]	0.003
8	1	1	6	[5,15,24]	[21,22,23,24,25,26]	0.004
8	2	1	6	[12,16,24]	[43,44,45,46,47,48]	0.004
8	3	1	6	[15,24]	[80,81,82,83,84,85]	0.003
8	4	1	6	[23]	[1,2,3,4,5,6]	0.002
8	5	1	7	[16,24]	[8,15,16,17,18,19,20]	0.003
8	6	1	6	[24]	[1,2,3,4,5,6]	0.002
8	7	1	9	[25]	[1,2,3,4,5,6,7,8,9]	0.002
8	9	1	8	[26,30]	[1,2,3,4,5,6,16,17]	0.003
8	10	1	7	[26]	[18,19,20,21,22,23,24]	0.002
8	11	1	6	[26,31]	[25,26,43,44,45,46]	0.003
8	12	1	6	[26,32]	[47,48,80,81,82,83]	0.003
9	1	1	9	[5,15,24,29,27]	[27,28,29,30,31,32,33,34,35]	0.006
9	2	1	10	[12,16,24,29,27]	[55,56,57,58,59,60,61,62,63,64]	0.006
9	3	1	7	[15,24,29,27]	[86,87,88,89,90,91,92]	0.005
9	4	1	6	[19,33,28]	[7,8,9,10,11,12]	0.004
9	6	1	6	[20,33,28]	[24,25,26,27,28,29]	0.004
9	7	1	7	[33,28]	[1,2,3,4,5,6,19]	0.003
9	8	1	8	[29,27]	[1,2,3,4,5,6,16,17]	0.003
9	11	1	6	[28]	[1,2,3,4,5,6]	0.002
9	12	1	6	[27,32]	[1,2,3,4,5,6]	0.003
10	1	1	7	[5,15,24,29]	[36,37,38,39,40,41,42]	0.005
10	2	1	8	[12,16,24,29]	[65,66,67,68,69,70,71,72]	0.005
10	3	1	4	[15,24,29]	[93,94,95,96]	0.004
10	4	1	9	[23,29]	[7,8,9,10,11,12,13,14,15]	0.003
10	7	1	15	[33,31]	[20,21,22,23,32,33,34,35,36,37,38,39,40,41,55]	0.003
