to_node	from_node	metric	failure_prob
1	2	1000	0.002
1	3	1000	0.002
2	1	1000	0.002
2	5	1000	0.002
3	1	1000	0.002
3	4	1000	0.002
3	6	1000	0.002
4	3	1000	0.002
4	5	1000	0.002
4	7	1000	0.002
4	8	1000	0.002
5	2	1000	0.002
5	4	1000	0.002
5	6	1000	0.002
6	3	1000	0.002
6	5	1000	0.002
6	7	1000	0.002
6	8	1000	0.002
7	4	1000	0.002
7	6	1000	0.002
7	8	1000	0.002
7	11	1000	0.002
8	4	1000	0.002
8	6	1000	0.002
8	7	1000	0.002
8	10	1000	0.002
9	10	1000	0.002
9	11	1000	0.002
10	8	1000	0.002
10	9	1000	0.002
10	11	1000	0.002
10	12	1000	0.002
11	7	1000	0.002
11	9	1000	0.002
11	10	1000	0.002
11	12	1000	0.002
12	10	1000	0.002
12	11	1000	0.002
