src	dst	index	capacity	fiberpath_index	wavelength	failure
1	3	1	4	[2,18,21,26]	[1,2,3,4]	0.005
1	5	1	2	[1]	[1,2]	0.002
1	6	1	17	[2]	[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]	0.002
1	8	1	10	[1,14,12]	[3,4,5,6,7,8,9,10,11,12]	0.004
1	11	1	21	[3,45]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]	0.003
1	12	1	8	[3,45,28]	[22,23,24,25,26,27,28,29]	0.004
1	13	1	23	[3,46,35]	[30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]	0.004
1	15	1	8	[1,15]	[13,14,15,16,17,18,19,20]	0.003
1	17	1	4	[3]	[53,54,55,56]	0.002
2	3	1	2	[4]	[1,2]	0.002
2	4	1	5	[5]	[1,2,3,4,5]	0.002
2	5	1	6	[5,10]	[6,7,8,9,10,11]	0.003
2	7	1	2	[4,8,27]	[3,4]	0.004
2	9	1	16	[6]	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]	0.002
2	11	1	4	[6,25,45]	[30,31,32,33]	0.004
2	15	1	7	[5,10,15]	[12,21,22,23,24,25,26]	0.004
3	1	1	4	[16,20,27,8]	[1,2,3,4]	0.005
3	2	1	2	[7]	[1,2]	0.002
3	4	1	5	[7,5]	[13,14,15,16,17]	0.003
3	5	1	2	[7,5,10]	[18,19]	0.004
3	8	1	5	[7,5,12]	[20,27,28,29,30]	0.004
3	9	1	7	[7,6]	[21,22,23,24,25,26,34]	0.003
3	10	1	3	[8]	[1,2,5]	0.002
3	12	1	5	[7,5,12,23]	[31,32,33,35,36]	0.005
3	13	1	2	[7,6,25,46,35]	[53,54]	0.006
3	14	1	7	[7,6,25,46]	[55,56,57,58,59,60,61]	0.005
3	15	1	2	[7,5,10,15]	[37,38]	0.005
3	16	1	5	[8,27,20,19]	[6,7,8,9,10]	0.005
3	17	1	2	[7,6,25]	[39,40]	0.004
4	2	1	5	[9]	[1,2,3,4,5]	0.002
4	3	1	5	[4,9]	[13,14,15,16,17]	0.003
