to_node	from_node	metric	failure_prob
1	5	1000	0.002
1	6	1000	0.002
1	17	1000	0.002
2	3	1000	0.002
2	4	1000	0.002
2	9	1000	0.002
3	2	1000	0.002
3	10	1000	0.002
4	2	1000	0.002
4	5	1000	0.002
4	6	1000	0.002
4	8	1000	0.002
5	1	1000	0.002
5	4	1000	0.002
5	15	1000	0.002
6	1	1000	0.002
6	4	1000	0.002
6	7	1000	0.002
6	16	1000	0.002
7	6	1000	0.002
7	10	1000	0.002
8	4	1000	0.002
8	12	1000	0.002
9	2	1000	0.002
9	17	1000	0.002
10	3	1000	0.002
10	7	1000	0.002
11	12	1000	0.002
11	17	1000	0.002
12	8	1000	0.002
12	11	1000	0.002
12	13	1000	0.002
13	12	1000	0.002
13	14	1000	0.002
14	13	1000	0.002
14	15	1000	0.002
14	17	1000	0.002
15	5	1000	0.002
15	14	1000	0.002
15	16	1000	0.002
16	6	1000	0.002
16	15	1000	0.002
17	1	1000	0.002
17	9	1000	0.002
17	11	1000	0.002
17	14	1000	0.002
